,sentence,sentiment,polarity
3754,"For the past three decades, finance has claimed a growing share of the U.S. stock market, profits and the overall economy.</br></br>But the role of finance -- the businesses of borrowing, lending, investing and all the middlemen in between -- may be ebbing, a shift that would redefine the U.S. economy. ""The role of finance in the economy is going to come down significantly in the coming years,"" says Carlos Asilis, chief investment officer at Glovista Investments, a New Jersey money manager. ""From a societal standpoint, we got carried away with finance.""</br></br>The trend already has hurt companies beyond banks and Wall Street firms. General Electric Co.'s first-quarter profits at its financial- services businesses were 21% lower than a year earlier. Retailer Target Corp., which got 13% of its before-tax profit last year from credit cards, last month wrote off $55.5 million in credit-card loans, 8.1% of its total portfolio at an annualized rate.</br></br>""I think you're seeing a clear inflection point,"" says Tom Gallagher, an ISI Group analyst. ""Whether it's financials as a share of the stock market or financials as a share of GDP, we've peaked.""</br></br>Finance was lifted by deregulation, globalization and technological innovation. Combined, these forces allowed capital to flow far more freely around the globe, brought flexibility to the economy and made finance lucrative.",6.0,1
3757,"WASHINGTON -- A trade deficit wider than expected and strong retail sales signaled that the economy remains on a solid upward trajectory but prompted concerns in the markets that inflation is heating up.</br></br>The trade gap widened 3.6% to a record $48.3 billion in April, from March's $46.6 billion, according to the Commerce Department. The deficit reflected a decline in exports of $1.5 billion, while imports remained largely flat. The drop covered a broad range of exports, but a number of analysts dismissed it as a statistical aberration.</br></br>""Over the last year, exports were up 10%; over the last three months, exports rose almost 20% at an annual rate,"" says John Ryding, chief U.S. economist for the investment bank Bear Stearns. ""The trend is unambiguously higher."" The National Association of Manufacturers also dismissed the decline as ""a one-time correction.""</br></br>The widening trade deficit could put downward pressure on the dollar as investors lose confidence in the ability of the U.S. to repay its debts, boosting the prices of imports higher than they otherwise would be. But the deficit can also be a signal of economic strength. That is because the U.S. is growing more rapidly than other industrialized nations and absorbing more imports than its trading partners.</br></br>Retail sales, which grew at a 1.2% pace in May, compared with a 0.6% drop in April, was another signal of a strengthening U.S. economy. May's growth drew on a healthier job market and aggressive discounting at car dealerships looking to counter higher gasoline prices. Light- vehicle sales among the Big Three U.S. auto makers rose 14.6% in May compared with the month before, the National Automobile Dealers Association said.",7.0,1
3758,"The government's barometer of future economic activity rose in December, along with sales of new homes and help-wanted ads in newspapers, giving further evidence that the economy is gaining momentum.</br></br>The Commerce Department said its index of leading economic indicators jumped a vigorous 0.7% in December, the fifth monthly rise in a row, bringing the index to its highest level since April 1989.</br></br>The index is designed to forecast future economic health. Eight of the 11 indicators that make up the index improved. The most robust indicators were consumer expectations, materials prices and initial claims for unemployment benefits. Capital equipment, unfilled orders for durable goods and the money supply were down very slightly or unchanged.</br></br>Robert Dederick, chief economist at Northern Trust Co. in Chicago said, ""We're in a full-fledged cyclical expansion. Before we had one or more of the cylinders of the economy not working. Now they are all running.""</br></br>Separately, sales of new homes shot up 11.4% in December to an annual rate of 862,000, the highest in seven years, according to a report by the Commerce Department and the Department of Housing and Urban Development.",7.0,1
3773,"WASHINGTON -- Last month's robust job gains signal that economic growth in the second quarter -- even amid a trade-damping Asian financial crisis -- might not be slowing as much as economists previously believed.</br></br>The unemployment rate stayed at its 28-year low of 4.3% of the work force in May, suggesting that April's drop was no aberration. The economy added 296,000 jobs in May, the Labor Department said. For the past six months, job gains have averaged 257,000 a month and the labor market has been taut.</br></br>Wage gains were also healthy during May. Average hourly earnings for nonsupervisory workers increased four cents to a seasonally adjusted $12.73. Average weekly earnings increased 0.9% to $441.73. Average weekly earnings and average hourly earnings have both risen 4.3% during the past year -- without many signs of inflationary pressures.</br></br>The economy, though slowing from the 4.8% gross-domestic-product growth rate posted in the first quarter, still continues to generate jobs. Certainly, the Asian financial crisis has had an effect. The manufacturing sector has slowed its rate of growth in the second quarter, and manufacturing jobs declined 26,000 last month, the third drop in the past four months. Those declines, however, were offset by the brisk-paced service sector, which accounted for all of May's job gains. Business services, retail trade and financial sectors all boosted their payrolls in May.</br></br>""This shows that overall we can weather shifts in the economy,"" said Labor Secretary Alexis Herman, who used the manufacturing fall-off to underscore the importance of the International Monetary Fund's proposed Asian relief package. ""We need to support it"" to keep the Asian situation from worsening, Ms. Herman said.",6.0,1
3785,"Corporate treasurers expect interest rates to continue rising for the rest of the year and into 1989 without provoking a business downturn.</br></br>Despite the highest short-term rates since last October's stock-market crash, the outlook ""is very optimistic,"" says Wayland F. Blood, vice president and treasurer at Detroit-based Ford Motor Credit Co., echoing the view of many of the nation's biggest industrial companies. Many treasurers anticipated the Federal Reserve's increase in the discount rate to 6 1/2% from 6% last week and say it prompted no change in financing plans.</br></br>The Fed's decision to tighten credit by raising its lending fee to banks, however, caused rates on Treasury bills, bank certificates of deposit and commercial paper to spurt 0.2 percentage point in four days. The yield on the government's most recently issued 30-year bond rose 0.3 percentage point last week to 9.43%, its highest level since Dec. 11, according to Merrill Lynch Capital Markets. Treasury bond prices fell as much as three points, or $30 for each $1,000 face amount.</br></br>Even with expectations that short-term and long-term rates could rise at least another half a point, corporate financial officers are optimistic the expansion will continue for a seventh consecutive year.</br></br>""There's a lot of strength in the economy, based on what's going over the counters at our restaurants,"" says Jack Greenberg, executive vice president and chief financial officer at Oakbrook, Ill.-based McDonald's Corp. ""The Fed's discount rate increase was expected and doesn't change any of our plans for expansion.""",3.0,0
3786,"August stock-trading volume, usually thin as institutional traders and individual investors alike take summer vacation, has been inordinately heavy during the market gyrations this month -- forebodingly so on certain days.</br></br>Market volume has been heaviest on down days and has been thinner when stocks have risen, underscoring a trend that isn't giving investors much hope during this turbulent trading environment.</br></br>Stock-chart watchers say volume can be interpreted as a leading indicator for the market's moves. If volume leads on the downside, it could portend more selling heading into the autumn. By contrast, heavier trading when stocks are rising can signal more bullish times are on the horizon.</br></br>On days that stocks have dropped this month, investors have traded about 6.26 billion shares in New York Stock Exchange composite volume, according to WSJ Market Data Group. By contrast, average NYSE composite volume on days when the market has risen is 5.81 billion.</br></br>""Fear is generating more volume on down days than skeptical optimism is generating on the up days,"" said John Schlitz, chief market technician at Instinet.",3.0,0
3792,"Japan shares fell into correction territory Friday, pressured by global market volatility, but stocks in Indonesia jumped ahead of the inauguration of President-elect Joko Widodo.</br></br>Japan's Nikkei Stock Average, Asia's biggest victim of fears about a global slowdown given the country's heavy reliance on global trade, fell 1.4% to 14,532.51. The index is now down more than 10% from its recent peak at the end of September--a move described by analysts as a correction.</br></br>The last time the Nikkei had such a fall was May last year, when worries about the U.S. Federal Reserve tapering its economic stimulus program roiled markets globally.</br></br>Financial markets have been struck by volatility over the past week and a half, amid concerns about a stagnating European economy, questions about the strength of the U.S. economy and again, worries about the prospect of higher U.S. interest rates.</br></br>There are signs that the selloff in Asia is cooling, however.",4.0,0
3802,"The dollar gained against the yen and the euro on Tuesday after the U.S. economy grew at the fastest pace in 11 years, bolstering the market's expectations for higher interest rates.</br></br>The dollar increased 0.6% in late-afternoon trade to 120.77 yen, a two-week high. The euro pushed to a more than two-year low in early trade and was recently down 0.5% to $1.2169.</br></br>U.S. gross domestic product grew 5% in the third quarter, well above last month's estimate of 3.9%, the Commerce Department said Tuesday. It was the fastest pace since GDP grew 6.9% during the third quarter of 2003.</br></br>The GDP data encouraged investors who have been betting that a recovering U.S. economy would spur the Federal Reserve to raise interest rates before other major central banks do. Higher U.S. rates would bring more investors to the dollar, as they would increase returns on assets denominated in the currency.</br></br>""With 5% growth in the U.S. now, even if we don't improve at that pace next quarter, we're still light years ahead of the eurozone and Japan,"" said Joseph Quinlan, chief market strategist at U.S. Trust Private Wealth Management.",7.0,1
3814,"Crude-oil prices fell, as the dollar strengthened following a credit rater's downgrade of Spain's sovereign debt.</br></br>In early afternoon trading in New York, the price of the light, sweet crude-oil futures contract for July delivery dropped 84 cents or 1.1% to $73.71 a barrel on the New York Mercantile Exchange as news broke that Fitch Ratings downgraded Spain's debt rating to AA+ from AAA. North Sea Brent crude on London's ICE futures exchange shed 88 cents, or 1.2%, to $73.82.</br></br>The euro weakened to $1.2324 against the dollar from $1.2370 before the Fitch downgrade was announced. A stronger dollar puts pressure on oil prices, as it makes oil more expensive for holders of other currencies and could thus crimp demand.</br></br>Oil's decline demonstrates how the energy markets remain sensitive to swings in the currency markets caused by Europe's debt problems. Signs of stabilization in Europe and strong economic data from the U.S. and China helped crude stage a strong recovery this week from a sell-off that had brought prices to as low as $64.24 a barrel.</br></br>On Thursday, oil prices posted the strongest advance of the year, rising $3.04 a barrel, or 4.3%, as Spain agreed to budget cuts and China reiterated its commitment to European bond investments. Stock markets and other commodities posted sharp price increases as investors regained an appetite for risk following a three-week sell-off sparked by concerns over Europe's debt situation and the pace of economic recovery in the U.S. and China. Those fears were lessened this week as economic data showed continued recovery in the U.S. and strong growth from China.",6.0,1
3821,"WASHINGTON -- Weak payroll growth and declining unemployment suggest that the U.S. job market is growing at a slow but steady pace.</br></br>Employers added a disappointing 110,000 jobs in March, the fewest since July and a big decline from 243,000 in February, the Labor Department reported. Meanwhile, the seasonally adjusted unemployment rate fell to 5.2% in March from 5.4% in February.</br></br>Economists believe that last month's lackluster performance in payroll growth is an indication of businesses turning more cautious in the face of profit pressures and another spike in energy prices.</br></br>Separately, the Commerce Department reported that construction spending increased 0.4% in February to a seasonally adjusted annual rate of $1.05 trillion. In addition, the Institute for Supply Management, which polls purchasing agents at more than 400 industrial companies, said its index of manufacturing activity was relatively unchanged at 55.2 in March. The new-orders index ticked higher to 57.1 from 55.8, while the employment gauge slipped to 53.3 from 57.4.</br></br>Index readings above 50 indicate the sector is expanding. The March number represents the 22nd consecutive month of manufacturing growth.",7.0,1
3822,"Higher energy prices, a lousy housing market and tighter credit continue to put the squeeze on consumers -- and Wal-Mart and Home Depot are feeling their pain.</br></br>Wal-Mart Stores lowered its fiscal-year earnings forecast today, even as the world's biggest retailer reported that its second-quarter net income rose 49% to $3.11 billion, or 76 cents a share. The positive quarterly comparison was largely due to a charge in the year- earlier period, and CEO Lee Scott didn't try to hide his disappointment in his company's latest results. ""Our underlying operating performance this quarter is not what we expect of ourselves, and not what our shareholders expect of us,"" he said in a statement. The retail giant said sluggishness in the overall economy contributed to its weaker outlook, but some of the problems are of Wal-Mart's making. Price cuts that opened the key back-to-school season lowered gross margin at U.S. stores by half a percentage point, yet piles of spring apparel remain unsold. Still, executives noted that inventory grew at a slower rate than sales during the second quarter, reversing an issue that plagued the retailer during its first quarter. Meanwhile, the cooling housing market continued to hamper Home Depot's quarterly earnings. The home-improvement retailer saw its net income drop 15% to $1.59 billion, although these results came in ahead of Wall Street expectations. The company also hinted at the possibility that the proposed sale of its supply business might not go through under current terms. Shares of Wal-Mart fell 5.1%, while Home Depot slid 4.9%.</br></br>In his conference call, Wal-Mart's Mr. Scott emphasized the financial difficulties crimping the retailer's core demographic of modest-income shoppers. ""It is no secret that many customers are running out of money towards the end of the month,"" he said. ""The paycheck cycle is, in fact, more pronounced now than it ever has been."" Evidence of consumer unease could be seen in the 14% quarterly sales gain Wal-Mart supercenters notched for groceries, whose rock- bottom prices draw budget-stressed consumers. Pharmacy and electronic sales also improved during the quarter. But home-related items and clothing, with their wider profit margins, remained a downer for the retailer. Analysts saw evidence that Wal-Mart executives are taking steps to fix those factors in the company's control, but many remain cool on the retailer's near-term prospects. A.G. Edwards analysts called it an ""ebb tide in low-end consumer spending."" Goldman Sachs faulted ""the tougher macro environment"" for making the company's turnaround ""even tougher to enact,"" and warned of retail-sector fallout from any further price cuts: Wal-Mart's ""efforts to clear inventory could pressure other discounters this holiday season."" And HSBC's note, echoing Mr. Scott, affirmed that the paycheck-to-paycheck cycle means that, for consumers, ""inflation takes a bite out of real spending growth.""</br></br>In that regard, there was a glimmer of good news in economic data released Tuesday. Despite another jump in energy prices, July data on U.S. wholesale prices were unlikely to stir inflation concerns. The producer price index for finished goods rose 0.6%, but the core number that excludes more volatile food and energy prices was up just 0.1% -- slightly below Wall Street expectations. Even more unexpected was Tuesday's trade data: the U.S. deficit narrowed in June due to surprising strength in exports. Growth in U.S. demand for imported goods also slowed slightly, knocking the trade gap down 1.7% to $58.14 billion. The trade deficit from May was also revised downward to $59.16 billion. Strength in the global economy at large, combined with continued weakness in the dollar, helped enhance demand for U.S. exports. Bear Stearns analysts wrote that the trade numbers will likely lead the Commerce Department to revise second-quarter economic growth around 4.3% from an originally reported 3.4%.</br></br>---",4.0,0
3825,"WASHINGTON -- Two new Federal Reserve reports suggest the boom in exports is straining the nation's manufacturers, and could heighten fears of accelerating inflation.</br></br>A survey of economic conditions in the 12 Federal Reserve districts found signs that factories are facing shortages and sharp price boosts for various industrial materials and supplies. The Philadelphia Fed also uncovered evidence that factory wages are rising as a result of worker shortages.</br></br>And a separate Fed report said the nation's factories, mines and utilities operated at 82.9% of capacity in May, higher than at any time since March 1980. Economists say that the closer business gets to operating at full capacity, the greater the risks of a spurt in inflation.</br></br>Separately, the Commerce Department said business inventories grew 0.5% in April, largely reflecting a jump in wholesalers' inventories. Sales by manufacturers, retailers and wholesalers dropped 0.2%. As a result, the ratio of inventories-to-sales increased slightly to 1.51 in April from 1.50 in March, remaining within the range in which the ratio has traveled for the past year.</br></br>As the factory problems noted by the Fed may be interpreted by some as a sign of an overheating economy and more inflation, they could lead the central bank to boost interest rates in the coming months. The Fed's policy committee meets June 29 and 30 to review its credit stance.",4.0,0
3828,"NEW YORK -- Bonds suffered their worst one-day plunge in more than four months as newly released data sparked concerns that the economy's continued head-turning growth will cause the Federal Reserve to raise interest rates at least once next year to keep inflation under wraps.</br></br>In late trading, the bellwether 30-year Treasury fell 1 11/32, or $13.438 for a bond with $1,000 face value, to 97 17/32. The bond's yield, which moves in the opposite direction of its price, rose to 6.295%. It was the benchmark bond's worst one-day performance since Aug. 6.</br></br>Shorter-term securities also dropped. Two-year notes, for example, fell 6/32 to yield 6.045%. Volume was $49.4 billion, higher than the average of the last week and last 30 days, according to GovPX Inc., which tracks trading volume at five of the six interdealer brokers.</br></br>Investors were spooked by a stronger-than-expected retail-sales report for November. The Commerce Department said retail sales jumped 0.9%, above the 0.5% increase economists expected. Excluding autos, however, sales were up 0.4%, in line with forecasts.</br></br>In addition, October sales were revised to show an overall increase of 0.3% from an unchanged reading in the initial report. As a result, what looked like slight slowing in consumer spending, and a possible precursor to a slowing economy, instead showed the economy may be overheating.",7.0,1
3830,"Treasury bonds rallied broadly, as the U.S. employment report for July soothed concerns that the Federal Reserve may raise interest rates sooner than investors expect.</br></br>In late afternoon trading Friday, the benchmark 10-year note was up 15/32, yielding 2.505%.</br></br>The two-year note was up 4/32, yielding 0.476%. Bond yields fall when their prices rise.</br></br>Investors piled into U.S. government bonds after the Labor Department said the U.S. economy added a smaller-than-forecast 209,000 nonfarm payrolls in July. Average hourly earnings rose one cent from June to $24.45 last month, a sign that wage inflation remains tame.</br></br>""The bond market is telling you that it is not a bad report, but it is not strong enough to force the Fed to rush to raise interest rates,"" said Gary Pollack, who helps oversee $12 billion as head of fixed-income trading in New York at Deutsche Bank AG's private wealth-management unit.",6.0,1
3839,"WASHINGTON -- A dive in orders for big-ticket factory goods in March erased hopes that the recession will end for manufacturing in the next month or two.</br></br>Orders to manufacturers for durable goods -- items intended to last more than three years, such as cars, appliances or heavy machinery -- sank 6.2% in March to the lowest level since August 1987, the Commerce Department reported. The drop, the third in a row, followed declines of 0.2% in February and 2.0% in January, and left orders 15.4% below a year earlier.</br></br>""Today's orders are tomorrow's production,"" said Stuart Hoffman, economist with PNC Financial Corp., a Pittsburgh bank holding company. ""So I think this signals that production and jobs {in manufacturing} will be down in the second quarter.""</br></br>The majority of economists believe the economy will turn around and grow slightly in the second period, according to the Blue Chip Economic Indicators, a survey of business economists and consulting groups. And some sectors of the economy, such as housing, have shown signs of bottoming out. But the durable-goods report was strong evidence for those who believe that the recovery may be a few months further down the road and that growth won't restart until the third quarter.</br></br>""This puts to rest the notion that with the end of the war came the end of the recession,"" said Nancy Sidhu, an economist with Security Pacific National Bank. Ms. Sidhu pointed in particular to a 10.3% slide in orders for nondefense capital goods, closely watched as a barometer of the industrial sector's investment and production plans.",4.0,0
3847,"Beware inflated expectations. Investors are beginning to bet that a return of food-price inflation will boost grocery-store profits. Retailers can sometimes keep their percentage markups constant when input costs rise.</br></br>The cost of food for home consumption does indeed look set for a rebound. After falling 2.4% last year, according to the Bureau of Labor Statistics, retailers are beginning to predict that it will resume its upward march. This week, Wal-Mart Stores said it expects food deflation to abate this year and Winn-Dixie forecast outright inflation in the second quarter. Friday's consumer-price index data for January could add to the evidence.</br></br>This year could be more complicated than usual. First, the initial round of food inflation is likely to occur in perishables such as milk, whose price has already rebounded in recent months. Just as some grocers saw perishables volumes rise last year when prices fell, the reverse could be true if prices rise.</br></br>Second, packaged-food prices could keep falling for some time. Even if raw ingredient costs begin to rise, many manufacturers have locked in lower raw-material prices using hedges. Meredith Adler of Barclays Capital estimates packaged food accounts for 40% of the average grocer's revenue.</br></br>Finally, moves by the likes of Costco and Wal-Mart to sell more private-label products could damp food-price inflation.",6.0,1
3849,"JACKSON HOLE, Wyo. -- Federal Reserve Chairman Ben Bernanke wasn't expecting he would have to make another speech like the one he will deliver here Friday.</br></br>A few months ago, the Fed seemed to be on cruise control as the economy healed. Many officials at the central bank hoped they were done with launching complicated programs to spur a sluggish economy. But Mr. Bernanke and his colleagues, once again disappointed by slow growth and small employment gains this year, are formulating another dose of monetary stimulus to be considered at their next policy meeting in mid-September.</br></br>So when the chairman speaks Friday morning at the central bank's annual retreat here, he must once again address whether there is more the Fed can do to get the economy going and whether it is worth taking chances on controversial new programs. All along he has argued these efforts are worth it and appears likely to stick to that line in his speech.</br></br>Beyond big issues of the moment -- such as whether the Fed will launch a new bond-buying program -- a broader question looms in Jackson Hole about Mr. Bernanke's legacy. Long after his term as chairman ends in 17 months, will he be remembered as the Fed chief who did too little to combat high unemployment or the one who did too much and unleashed inflation and financial instability with the actions he took? Critics make both arguments.</br></br>How Mr. Bernanke acts now depends in part on which he sees as the stronger critique. As an academic before joining the Fed, Mr. Bernanke often criticized central bankers for dealing too passively with financial crises and economic malaise. As Fed chief, he has confronted many limitations to the policies he controls.",4.0,0
3850,"Corrections & Amplifications</br></br>Dollar Tree Inc. met its earnings targets for its fiscal first quarter. A Marketplace article on Monday incorrectly said that Dollar Tree was among the deep-discount retailers that had missed their earnings projections.</br></br>(WSJ July 13, 2011)</br></br>Sales and profit growth have started to slump at the deep-discount retailers called dollar stores, after a robust performance during the recession, a sign that even fairly cheap toys and other small indulgences now are a stretch for some consumers.</br></br>In the past several weeks, Dollar General Corp., Family Dollar Stores Inc. and Dollar Tree Inc., the country's three largest chains that sell sharply discounted food, household staples and other items in modest-size stores, all have missed their quarterly earnings targets.",3.0,0
3851,"WASHINGTON -- America's extraordinarily low unemployment rate is beginning to feel pressure from the sharp economic slowdown, but not enough to prove the entire economy has followed manufacturing into recession.</br></br>The unemployment rate edged up to 4.2% in January, its highest level since September 1999 but only a bit above the near-30-year low of 4% in December, the Department of Labor said Friday. In January, the labor pool expanded faster than the number of new jobs that were created.</br></br>Payrolls outside of farming jumped 268,000 in January, adjusted for seasonal variation, well above what economists expected, and a big improvement over the tiny increase of 19,000 jobs in December. That increase was revised down sharply from an original estimate of 105,000. The January data suggest that employment, especially in construction where 145,000 jobs were added, had been unusually depressed by bad weather in December.</br></br>The report was the first comprehensive look at the entire economy for January. Previous reports had found that the industrial sector's decline accelerated during the month, and the payroll report provided further confirmation. Manufacturing jobs sank by 65,000, bringing total losses in that sector to 254,000 since June. But employment in retail trade, government and other services rose 183,000.</br></br>""It's clear you have a dichotomy between manufacturing and the rest of the economy,"" said Michael Prell, an economic consultant in Arlington, Va., noting that service-sector employment would have been higher but for the loss of jobs at temporary-help agencies, many of which were actually at manufacturing companies.",2.0,0
3853,"The idea that American manufacturing is on the cusp of a renaissance is everywhere these days -- except in the hard numbers.</br></br>It's true that industrial production has grown twice as fast as the economy as a whole in this recovery, and manufacturers are adding jobs again. But economists see those gains as too small relative to what was lost in previous years to suggest a full-blown revival. Factories fell so hard, the logic goes, some gains are a given.</br></br>""There's simply no statistical evidence of a broader renaissance at this point,"" says Daniel Meckstroth, chief economist with the Manufacturers Alliance for Productivity and Innovation, an Arlington, Va., group that represents mostly large U.S. producers.</br></br>Mr. Meckstroth says measures that look deeper inside the sector continue to flash warning signs. Take factory closings. For the past 13 years, the rate factories have been closing has been declining. That's good. The trouble is the rate of openings has been falling even faster. Simply put, America's factories are dying faster than they're being born.</br></br>To be sure, many U.S. manufacturers are doing better than they have in some time. That's visible in hiring. Manufacturers have added more than 500,000 jobs since early 2010, and Monday's report from the Institute for Supply Management is expected to show manufacturers continued expanding in March. But those gains pale compared with the deep hole created during the recession and just before it: U.S. factories lost nearly 5.7 million jobs from 2000 to 2010.",6.0,1
3856,"Author: Kristina Peterson</br></br>Stocks ended the session slightly higher, as investors await bellwether earnings reports due in coming days.</br></br>The Dow Jones Industrial Average closed up 3.63 points, or 0.03%, to 11010.11. The Nasdaq Composite edged up 0.42 point, or 0.02%, to 2402.33, while the Standard & Poor's 500-stock index rose 0.15 point, or 0.01%, to 1165.30.</br></br>Monday's trading came on lighter-than-average volume, with just over three billion shares changing hands in New York Stock Exchange composite trading compared with the daily average of about four billion. Bond markets and federal offices were closed in the U.S. for the Columbus Day holiday.</br></br>""More than anything, it's just a holiday-type trade, with low volume kind of whipsawing around,"" said Jamie Cox, managing partner at Harris Financial Group.",6.0,1
3860,"A downturn in consumer spending threw a new domestic worry into mounting global turmoil, threatening to again undercut hopes for a breakout performance in the U.S. economy.</br></br>Retail sales fell 0.3% in September, the Commerce Department said Wednesday. The broad-based decline came alongside weakening consumer confidence and minimal wage growth that has weighed on the recovery in recent years.</br></br>While spending at retailers is up 4.3% from a year earlier, double the pace of inflation, the September stumble continues a choppy pattern that shows many Americans are cautious heading into the holiday shopping season.</br></br>""We're still trudging along, but not at the accelerating pace that we'd like to see,"" said Moody's Analytics economist Scott Hoyt. The data don't change expectations for modest U.S. growth in gross domestic product, ""but it's a cautionary note.""</br></br>September's reading also could be reversed or revised next month. A slowdown from strong summer auto sales, falling gasoline prices and the timing of Apple Inc.'s iPhone 6 release all played a role in the latest data. Earlier concerns of a consumer slowdown in July were eased when sales for that month were revised up to a respectable 0.3% gain from an initial flat reading.",4.0,0
3861,"WASHINGTON -- Economic conditions are improving in most of the nation, but the rate of gain continues to be relatively small and uneven, according to new surveys by the 12 Federal Reserve district banks.</br></br>Overall, 10 of the districts, in their report for November, noted slight to moderate gains in some or all sectors of the economy. Retailers in particular said activity had picked up in October and early November, and many were optimistic about the current holiday season. The Chicago district went so far as to call it ""the best performance in eight years.""</br></br>Badly battered consumer confidence also seemed to be on the mend in many areas, a trend that respondents in Boston and Chicago linked to the end of the presidential election campaign. In New York, however, retailers attributed the somewhat brighter picture to promotional efforts rather than to any meaningful revival in the economy.</br></br>Manufacturers in about half of the Fed districts said things are looking up, albeit generally quite modestly. Ongoing cutbacks in the defense industry remain a drag on the recovery in some regions. And while indicators from Dallas are strong, and Boston, Philadelphia, Cleveland and Chicago reported small gains, many industrial concerns in the New York district and California continue to experience weak demand.</br></br>Construction and real estate remain ""a tale of two markets,"" the report said, with improvements in the residential sector and continued stagnation on the commercial side. In Southern California, for example, some commercial rents have fallen 25% to 40%, and forecasts for next year show rents tumbling an additional 10% or more; the number of foreclosures is expected to rise.",6.0,1
3867,"Stocks finally managed a mild recovery after four weak days, but bonds and the dollar kept falling.</br></br>After declining every trading day since hitting a record on Aug. 25, the Dow Jones Industrial Average finally rose 108.60 points, or 1.00%, to 10937.88. That leaves the industrials still 3.43% short of last week's 11326.04 record, although up 19.13% for 1999.</br></br>Other stock indexes also managed small advances. But the dollar fell to yet another low since Jan. 11 in late New York trading.</br></br>Bond and stock investors went in opposite directions. Bond investors worried that August payroll and unemployment data due tomorrow could signal a strong economy, pushing the Federal Reserve toward raising interest-rate guidelines again next month. Stock investors bet that interest-rate boosts are about done with, Ned Riley, chief investment officer at BankBoston, said.</br></br>The stock gains were ""a precelebration"" of Friday's news, he said, adding ""people are expecting that the payroll number will be weaker than forecast. They think that the markets will see a better interest-rate environment as we go into the fourth quarter.""",4.0,0
3868,"NEW YORK -- Seldom has the economy so confounded forecasters. Who could possibly have imagined a year ago that overall business activity -- notwithstanding an unprecedented crash in the stock market -- would remain briskly on the rise in mid-1988? Who could have guessed that the expansion would be rolling relentlessly through a sixth straight year, with no end in sight?</br></br>Economists who failed to anticipate this durability may be tempted to despair, sensing that imponderables so overhang the business scene nowadays that forecasting has grown too hazardous an occupation. Indeed, they may be moved to seek safer work, like wrestling with alligators instead of numbers.</br></br>Before anyone sets out for the Everglades, however, it may be worth taking a retrospective look at the economy's recent behavior, for it's not as perplexing as one might suppose from all the tarnished forecasting records.</br></br>Expansion phases of the business cycle normally end only after a rising economy begins to bump against constraints to further growth. These constraints may be physical, as when labor or productive capacity proves insufficient to meet demand, or they may be financial, as when credit is too costly or simply unavailable.</br></br>This basic characteristic of the business cycle tended to be overlooked in the widespread concern last year, particularly after the October market crash, that a recession would soon set in, possibly by the start of 1988.",7.0,1
3869,"PHILIP MORRIS IS CUTTING the price of Marlboro cigarettes by up to 20% and plans to forgo increases on other major brands while expanding distribution of discount brands. The moves, reflecting a decline in brand loyalty, could slash the company's tobacco profit by 40%. Its stock plummeted $14.75, or 23%, to $49.375. Other tobacco stocks also tumbled.</br></br>Stocks plunged, triggered by sliding tobacco shares and a weak employment report, while bond prices sank. The Dow Jones industrials fell 68.63 points, or 2%, to 3370.81. The benchmark 30-year Treasury bond's price lost more than a point, sending the yield over 7% to finish at 7.06%.</br></br>Stock mutual funds posted gains averaging 3.29% for the first quarter, trailing the S&P 500 index's 4.36% total return. Bond funds gained 3.96%.</br></br>---</br></br>Payrolls shrank last month while unemployment held steady at 7%, in another sign that economic growth has slowed considerably. Clinton aides said the data demonstrated the need for a stimulus package. Hourly earnings, meanwhile, climbed 0.5%.",7.0,1
3881,"U.S. inflation accelerated in July, as prices rose 5.6% from a year earlier, the fastest pace in 17 years.</br></br>The consumer-price index rose 0.8% from June, reflecting increased prices for food, energy, airline fares and apparel, the Labor Department said Thursday. That followed a rise of 1.1% the month before. Core inflation, which excludes food and energy, advanced 0.3% for the second consecutive month and was up 2.5% from a year before. That is well above the Fed's ""comfort zone"" of 1.5% to 2%.</br></br>""A truly ugly inflation report,"" said Harm Bandholz, economist at UniCredit Markets and Investment Banking, in a note to clients.</br></br>Slower inflation may already be on the way, economists said, because of a combination of factors: the recent drop in prices for oil and other commodities; the strengthening of the dollar, which lowers the price of imports; and continued weakness in the U.S. economy.</br></br>That suggests Federal Reserve policy makers are unlikely to raise interest rates despite their policy statement last week that inflation remains a ""significant"" concern. The Fed is generally expected to keep official interest rates steady into next year -- though rate increases could end up back on the table later this year if recent core- inflation increases persist.",4.0,0
3895,"NEW YORK -- Blue-chip stocks finished modestly lower in one of the most gently traded sessions this year.</br></br>Investors apparently decided, after being handed data expected to provide insight into what the Federal Reserve plans to do with interest rates this month, that they hadn't seen enough information to guide their investing.</br></br>A few rate-sensitive growth stocks wobbled in the session, including General Electric, off 2 1/16 to 154, AT&T, which lost 1 3/16 to 38 7/16, and General Motors, down 1 1/2 to 86 9/16.</br></br>Banks also suffered declines. Chase Manhattan lost 1 to 73 1/4. Citigroup gave up 1 1/2 to 58 5/8. FleetBoston Financial fell 15/16 to 33 1/8. But they weren't the kind of vigorous moves usually associated with downbeat inflation data.</br></br>Ahead of the session, the federal government released a report that showed worker productivity rose 2.4% in the first quarter this year, well off the 6.9% growth pace of the fourth quarter, and south of the forecasts of 3.5% growth. The same report also showed unit-labor costs picked up during the quarter, suggestive of the sort of inflation pressures likely to spur the Fed to active management of the economy's expansion through further -- and likely larger -- rate increases.",3.0,0
